Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
plv,Alto_da_boa_vista,2000,3,dados_pluviometricos_2000.zip,alto_da_boa_vista_200003_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,3,dados_meteorologicos_2000.zip,alto_da_boa_vista_200003_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,4,dados_pluviometricos_2000.zip,alto_da_boa_vista_200004_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,4,dados_meteorologicos_2000.zip,alto_da_boa_vista_200004_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,5,dados_pluviometricos_2000.zip,alto_da_boa_vista_200005_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,5,dados_meteorologicos_2000.zip,alto_da_boa_vista_200005_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,6,dados_pluviometricos_2000.zip,alto_da_boa_vista_200006_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,6,dados_meteorologicos_2000.zip,alto_da_boa_vista_200006_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,7,dados_pluviometricos_2000.zip,alto_da_boa_vista_200007_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,7,dados_meteorologicos_2000.zip,alto_da_boa_vista_200007_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,8,dados_pluviometricos_2000.zip,alto_da_boa_vista_200008_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,8,dados_meteorologicos_2000.zip,alto_da_boa_vista_200008_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,9,dados_pluviometricos_2000.zip,alto_da_boa_vista_200009_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,9,dados_meteorologicos_2000.zip,alto_da_boa_vista_200009_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2000,10,dados_pluviometricos_2000.zip,alto_da_boa_vista_200010_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2000,10,dados_meteorologicos_2000.zip,alto_da_boa_vista_200010_Met.txt,299,SUCESSO,,
